iter	RMSE
0	2.067183561
1	2.028815364
2	1.99932562
3	1.974041294
4	1.943295471
5	1.91168048
6	1.882927881
7	1.857653331
8	1.8239525
9	1.801404712
10	1.772133407
11	1.745940339
12	1.722910799
13	1.695986081
14	1.669693764
15	1.640621105
16	1.60880793
17	1.588725398
18	1.56561395
19	1.540587335
20	1.512944712
21	1.490097869
22	1.4691719
23	1.44535659
24	1.426406644
25	1.40549387
26	1.381288005
27	1.359499152
28	1.344219974
29	1.323879116
30	1.306038111
31	1.290843987
32	1.273755354
33	1.256481643
34	1.242438639
35	1.22723466
36	1.210756171
37	1.193947859
38	1.177438444
39	1.161216241
40	1.147873235
41	1.134648466
42	1.122818181
43	1.106495386
44	1.091882883
45	1.08043233
46	1.06971485
47	1.055401833
48	1.044786019
49	1.034961376
50	1.024748035
51	1.012734155
52	1.00161763
53	0.9895301341
54	0.9773301929
55	0.965661524
56	0.9554731323
57	0.9459021806
58	0.9363782111
59	0.9272560396
60	0.9192340436
61	0.9090728856
62	0.8989779086
63	0.8885094606
64	0.8811018696
65	0.8728081084
66	0.86257763
67	0.8563892308
68	0.849409231
69	0.8414809171
70	0.8348501625
71	0.8281480349
72	0.8207731637
73	0.8133320346
74	0.8091548202
75	0.8015090143
76	0.7950916306
77	0.7889924694
78	0.784361368
79	0.7780814953
80	0.7715394168
81	0.7657001071
82	0.7597534241
83	0.7540032111
84	0.7487831633
85	0.7421252846
86	0.7362270537
87	0.7318664394
88	0.7272303561
89	0.7221149988
90	0.7171955546
91	0.7127481648
92	0.7079825364
93	0.7034835691
94	0.7002180632
95	0.6940287719
96	0.6898651164
97	0.6847511405
98	0.6806198615
99	0.6766323979
100	0.674750354
101	0.6698313085
102	0.6663779479
103	0.6617927889
104	0.6569991038
105	0.6535960392
106	0.6496001678
107	0.6458074298
108	0.6416471732
109	0.6381908335
110	0.634522072
111	0.6301875122
112	0.6271083232
113	0.6234613211
114	0.6194898605
115	0.6153189953
116	0.6130170639
117	0.6101922415
118	0.606974848
119	0.6037833826
120	0.600200185
121	0.5960128822
122	0.5931462901
123	0.5894966735
124	0.5872507723
125	0.583631792
126	0.580378139
127	0.5771780209
128	0.5743995629
129	0.5728207788
130	0.5700637804
131	0.5672642601
132	0.5646547552
133	0.5626732173
134	0.5599008723
135	0.5588473438
136	0.5566314709
137	0.5542761636
138	0.5513735371
139	0.5495255363
140	0.5475009336
141	0.5450660545
142	0.5418213132
143	0.5393770747
144	0.5366403258
145	0.5337021377
146	0.5308329195
147	0.5288901834
148	0.5262903514
149	0.5236455016
150	0.521072668
151	0.5192234004
152	0.5171425422
153	0.5152330632
154	0.5138693456
155	0.511315138
156	0.5097324387
157	0.5081548624
158	0.5052447333
159	0.5032362908
160	0.5008792466
161	0.4990375298
162	0.4973682203
163	0.4951918737
164	0.4924175781
165	0.4906315795
166	0.4882033715
167	0.4866592488
168	0.4856866025
169	0.4844887275
170	0.4828006648
171	0.4818075802
172	0.4796791727
173	0.4779756785
174	0.4757478897
175	0.4744203367
176	0.4735014537
177	0.4718928554
178	0.4702292689
179	0.4683410874
180	0.4675013277
181	0.4657816508
182	0.4636000513
183	0.4620580977
184	0.4607696672
185	0.4590476589
186	0.4576899779
187	0.4561908458
188	0.4549107086
189	0.4527139819
190	0.4513544214
191	0.4493215548
192	0.4464468507
193	0.4442423454
194	0.4430438735
195	0.4413968225
196	0.4395584949
197	0.4383735429
198	0.4368244548
199	0.4355102875
200	0.4347169723
201	0.4332902492
202	0.4319023888
203	0.4308319089
204	0.4296689059
205	0.4283838932
206	0.4272245657
207	0.4264502269
208	0.4243369239
209	0.4218464536
210	0.4208852767
211	0.4188530446
212	0.4178448137
213	0.4164337236
214	0.4143549341
215	0.4133440407
216	0.4112724899
217	0.4105187855
218	0.4085873074
219	0.4078538897
220	0.4072067677
221	0.4055641276
222	0.404203922
223	0.4036061756
224	0.4017182712
225	0.4010532262
226	0.3991916025
227	0.3987440424
228	0.3973606719
229	0.3956372563
230	0.3949674378
231	0.3945084167
232	0.3931106978
233	0.3911262344
234	0.3889822693
235	0.3880892196
236	0.3874954976
237	0.3863926418
238	0.3847870127
239	0.3832535013
240	0.3817405332
241	0.3804995267
242	0.3796819739
243	0.3786017701
244	0.378079381
245	0.3775304143
246	0.3759201135
247	0.3742267813
248	0.3739057073
249	0.3731392492
250	0.3723980318
251	0.3710357175
252	0.3698037372
253	0.3690932619
254	0.3677779258
255	0.3667390344
256	0.3658914188
257	0.3643447887
258	0.3636975837
259	0.3625277778
260	0.3612568129
261	0.3601009537
262	0.3587734286
263	0.3584105011
264	0.357073557
265	0.3568326956
266	0.3559932843
267	0.3554540525
268	0.3544317783
269	0.3531865786
